t,Z_mpmath,kind,gap,norm_gap
10000000006055.1269531250,-1.644692873251e-02,min,,
10000000006155.0078125000,-1.426252513696e-02,min,,
10000000006239.4433593750,-7.960894415153e-03,min,,
10000000006257.7343750000,-7.166312350568e-03,min,,
10000000006311.7226562500,1.691495157046e-02,max,,
10000000006377.5332031250,-5.362693841202e-03,min,,
10000000006393.3242187500,-8.623060693353e-03,min,,
10000000006400.1640625000,-9.209517553530e-03,min,,
10000000006463.6015625000,-1.317936112067e-02,min,,
10000000006468.6054687500,1.524251625646e-02,max,,
10000000006522.0996093750,-6.042859986761e-03,min,,
10000000006646.8417968750,-1.354099039047e-02,min,,
10000000006654.7871093750,9.468745958730e-03,max,,
10000000006658.8261718750,-9.076253121414e-03,min,,
10000000006703.8828125000,9.021320480635e-03,max,,
10000000006720.8496093750,1.889956550530e-02,max,,
10000000006771.2714843750,-1.304298561358e-02,min,,
10000000006880.8828125000,-4.021228820480e-03,min,,
10000000006938.5859375000,-1.433662643297e-02,min,,
10000000006948.9667968750,1.451785434077e-02,max,,
10000000007052.4062500000,1.542567539607e-02,max,,
10000000007122.8222656250,-1.172155276121e-02,min,,
10000000007181.1855468750,1.876538100132e-02,max,,
10000000007213.4960937500,5.588826653218e-03,max,,
10000000007281.6093750000,-1.636776683495e-02,min,,
10000000007291.2656250000,1.969402082084e-02,max,,
10000000007377.9101562500,1.794173774444e-02,max,,
10000000007423.4941406250,-1.644835109973e-02,min,,
10000000007455.7207031250,2.679132920979e-03,max,1.06270850e-02,0.047520
10000000007562.3496093750,-1.202658854555e-03,min,1.07050088e-02,0.047868
10000000007613.0000000000,-1.264616628350e-02,min,,
10000000007614.6035156250,1.602466936157e-02,max,,
10000000007698.5117187500,7.748927008434e-03,max,,
10000000007704.3183593750,-1.743282975405e-02,min,,
10000000007717.3144531250,6.275648678859e-03,max,,
10000000007733.0722656250,5.432294478316e-03,max,,
10000000007779.7539062500,-1.182938869160e-02,min,,
10000000007852.8750000000,-1.060505677990e-02,min,,
10000000007895.0019531250,1.716501236995e-02,max,,
10000000007990.0195312500,-1.135416797668e-02,min,,
10000000008072.0292968750,2.303543044566e-03,max,1.01324981e-02,0.045308
10000000008088.8554687500,-1.992478149475e-02,min,,
10000000008105.6074218750,1.575275109552e-02,max,,
10000000008259.8789062500,1.154219016006e-02,max,,
10000000008295.5605468750,-1.789161556694e-02,min,,
10000000008349.7187500000,-7.509904309368e-03,min,,
10000000008396.7128906250,1.288627031525e-02,max,,
10000000008404.2148437500,-1.307896397178e-02,min,,
10000000008605.0722656250,-7.856379029105e-03,min,,
10000000008610.0644531250,-1.455736784703e-02,min,,
10000000008767.1757812500,1.606770417995e-02,max,,
10000000008795.3632812500,1.677947485895e-02,max,,
10000000008810.4687500000,9.102738051834e-03,max,,
10000000008840.3847656250,-1.722362933209e-02,min,,
10000000008856.8750000000,-1.870005588933e-02,min,,
10000000008916.4414062500,1.321783905006e-02,max,,
10000000008950.8789062500,9.634867266526e-03,max,,
10000000009019.2968750000,-3.544580081777e-03,min,,
10000000009147.5742187500,-1.217334240725e-02,min,,
10000000009176.5742187500,-6.874487126107e-03,min,,
10000000009231.7871093750,1.483078256589e-02,max,,
10000000009351.3613281250,8.394169395031e-03,max,,
10000000009393.5273437500,-1.785993636029e-02,min,,
10000000009437.9921875000,1.920695694768e-02,max,,
10000000009483.9570312500,-4.224014549167e-03,min,,
10000000009489.7910156250,-1.766385275501e-02,min,,
10000000009500.3593750000,9.924092265199e-03,max,,
10000000009511.7421875000,-2.989625142232e-03,min,,
10000000009564.2714843750,8.083966213473e-03,max,,
10000000009584.5878906250,-8.554796897724e-03,min,,
10000000009622.5917968750,1.965712188524e-02,max,,
10000000009665.5546875000,-9.832274832646e-03,min,,
10000000009985.2597656250,-3.854452158850e-03,min,1.04990411e-02,0.046947
10000000010010.3281250000,-1.646393314082e-02,min,,
